I,R,P,O,D
Deparq R_ealme Narzo 20 / 10 A / 10 / C11 / C12 / C15 Wired Headset,3.9,₹291,₹999,70% off,https://www.flipkart.com/deparq-r-ealme-narzo-20-10-c11-c12-c15-wired-headset/p/itmda4e2de5a5a29?pid=ACCFW4FRXGN48JQU&lid=LSTACCFW4FRXGN48JQUOQOIBN&marketplace=FLIPKART&srno=b_1_9&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFW4FRXGN48JQU.SEARCH&ssid=8u94u7zlow0000001609484967964
Helokuki Vivo V5/V7/V7pro/V9/V9pro/V11/V11pro/V15/V17/V17pro Wired Headset,3.3,₹298,₹999,70% off,https://www.flipkart.com/helokuki-vivo-v5-v7-v7pro-v9-v9pro-v11-v11pro-v15-v17-v17pro-wired-headset/p/itmfd8109347ed23?pid=ACCFPCW5FTKXYJJJ&lid=LSTACCFPCW5FTKXYJJJZAYGVO&marketplace=FLIPKART&srno=b_1_10&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFPCW5FTKXYJJJ.SEARCH&ssid=8u94u7zlow0000001609484967964
Deparq Re_alme Narzo 20 Pro / Narzo 20 / Narzo 20A / 6i / 7Pro Wired Headset,3.8,₹299,₹999,70% off,https://www.flipkart.com/deparq-re-alme-narzo-20-pro-20a-6i-7pro-wired-headset/p/itm496d344a8e18b?pid=ACCFWF7FWES5H4CF&lid=LSTACCFWF7FWES5H4CFGUB93N&marketplace=FLIPKART&srno=b_1_11&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFWF7FWES5H4CF.SEARCH&ssid=8u94u7zlow0000001609484967964
Helokuki Ral_me 6 Pro / 6 / C11 / C3 / C2 Wired Headset,4.3,₹299,₹999,70% off,https://www.flipkart.com/helokuki-ral-me-6-pro-c11-c3-c2-wired-headset/p/itm8a4a66449ff1f?pid=ACCFU9B63GHJF6GJ&lid=LSTACCFU9B63GHJF6GJNEUE6R&marketplace=FLIPKART&srno=b_1_12&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFU9B63GHJF6GJ.SEARCH&ssid=8u94u7zlow0000001609484967964
Helokuki Re_alme Narzo 10A / X2 Pro / XT / X2 / X Wired Headset,3.5,₹286,₹999,71% off,https://www.flipkart.com/helokuki-re-alme-narzo-10a-x2-pro-xt-x-wired-headset/p/itm351280fb6b281?pid=ACCFSS4FSMMQZSS2&lid=LSTACCFSS4FSMMQZSS2CMPD5S&marketplace=FLIPKART&srno=b_1_13&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFSS4FSMMQZSS2.SEARCH&ssid=8u94u7zlow0000001609484967964
I Kall k44 40 W Bluetooth Home Theatre,3.6,"₹1,499","₹2,499",40% off,https://www.flipkart.com/kall-k44-40-w-bluetooth-home-theatre/p/itm8cc3343e2ebc6?pid=ACCFZ9UVVHG7VCK9&lid=LSTACCFZ9UVVHG7VCK90QGW2T&marketplace=FLIPKART&srno=b_1_14&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFZ9UVVHG7VCK9.SEARCH&ssid=8u94u7zlow0000001609484967964
Deparq V_IVO U20 / Y 20 / V19 / S1 Pro / Z1 x / Y11 / Y15 Wired Headset,3.7,₹299,₹999,70% off,https://www.flipkart.com/deparq-v-ivo-u20-y-20-v19-s1-pro-z1-x-y11-y15-wired-headset/p/itm7d18223abcbcc?pid=ACCFW9GUE3NT26RF&lid=LSTACCFW9GUE3NT26RFSBNC6F&marketplace=FLIPKART&srno=b_1_15&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFW9GUE3NT26RF.SEARCH&ssid=8u94u7zlow0000001609484967964
HELOKUKI O_ppo A9 / A5s / A31 / A1k / A5 /A31 / A12 / A52 Wired Headset,3.5,₹287,₹999,71% off,https://www.flipkart.com/helokuki-o-ppo-a9-a5s-a31-a1k-a5-a31-a12-a52-wired-headset/p/itmbd18ba971bbd9?pid=ACCFTZ5PRFHCZZNS&lid=LSTACCFTZ5PRFHCZZNSTMCBII&marketplace=FLIPKART&srno=b_1_16&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFTZ5PRFHCZZNS.SEARCH&ssid=8u94u7zlow0000001609484967964
Helokuki Re_alme C11 / C3 / X3 / XT / X2 Pro Wired Headset,3.7,₹289,₹999,71% off,https://www.flipkart.com/helokuki-re-alme-c11-c3-x3-xt-x2-pro-wired-headset/p/itm050f85e18fdfd?pid=ACCFU9C7NF6EF97P&lid=LSTACCFU9C7NF6EF97POOE153&marketplace=FLIPKART&srno=b_1_17&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFU9C7NF6EF97P.SEARCH&ssid=8u94u7zlow0000001609484967964
Helokuki Sam_sung Galaxy M31 / M21 / M01 / M30s / M11 / M10 Wired Headset,3.7,₹293,₹999,70% off,https://www.flipkart.com/helokuki-sam-sung-galaxy-m31-m21-m01-m30s-m11-m10-wired-headset/p/itmc18836e5fe467?pid=ACCFTZNGRF47APFB&lid=LSTACCFTZNGRF47APFBMJ3C2M&marketplace=FLIPKART&srno=b_1_18&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFTZNGRF47APFB.SEARCH&ssid=8u94u7zlow0000001609484967964
"Deparq Vivo V20 / V20 SE / Y20 / U20 / Wired Headset (White, In the Ear) Wired Headset",3,₹299,₹999,70% off,https://www.flipkart.com/deparq-vivo-v20-se-y20-u20-wired-headset-white-ear/p/itmbad7e94c37ed0?pid=ACCFWF86HDXM4HPH&lid=LSTACCFWF86HDXM4HPHQHZC1F&marketplace=FLIPKART&srno=b_1_19&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFWF86HDXM4HPH.SEARCH&ssid=8u94u7zlow0000001609484967964
Gionee EP3 Wired Headset,4.2,₹449,₹799,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm0ef74f26dd590?pid=ACCFWGNG34QQHEGK&lid=LSTACCFWGNG34QQHEGKLW297H&marketplace=FLIPKART&srno=b_1_20&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFWGNG34QQHEGK.SEARCH&ssid=8u94u7zlow0000001609484967964
Helokuki HK STEREO YELLOW Wired Headset,4.7,₹278,₹999,72% off,https://www.flipkart.com/helokuki-hk-stereo-yellow-wired-headset/p/itm9b1c56f200b65?pid=ACCFPJ4EFPARYYFU&lid=LSTACCFPJ4EFPARYYFUONQZ3C&marketplace=FLIPKART&srno=b_1_21&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFPJ4EFPARYYFU.SEARCH&ssid=8u94u7zlow0000001609484967964
Gionee EP3 Wired Headset,3.5,₹449,₹799,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm93195afe115d4?pid=ACCFWGNPCCBJG6BG&lid=LSTACCFWGNPCCBJG6BGQDTRIX&marketplace=FLIPKART&srno=b_1_22&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFWGNPCCBJG6BG.SEARCH&ssid=8u94u7zlow0000001609484967964
Helokuki Samsung Galaxy M10/M20/M20s/M30/M30s/M40/A20/A30/A50 Wired Headset,3.8,₹268,₹999,73% off,https://www.flipkart.com/helokuki-samsung-galaxy-m10-m20-m20s-m30-m30s-m40-a20-a30-a50-wired-headset/p/itm0d7bb3b868a2c?pid=ACCFP68HX7MWWF38&lid=LSTACCFP68HX7MWWF38GFWRFX&marketplace=FLIPKART&srno=b_1_23&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFP68HX7MWWF38.SEARCH&ssid=8u94u7zlow0000001609484967964
QOR9 TRENDER Y2 Bluetooth Headset,4.2,"₹1,169","₹1,999",41% off,https://www.flipkart.com/qor9-trender-y2-bluetooth-headset/p/itmba6eb72784e50?pid=ACCFSPYAHGDMZNEH&lid=LSTACCFSPYAHGDMZNEHJD8NQD&marketplace=FLIPKART&srno=b_1_24&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFSPYAHGDMZNEH.SEARCH&ssid=8u94u7zlow0000001609484967964
Deparq Opp_o F17 Pro / F17 / F15 / F11Pro / Reno 4 Pro / Reno 4 Wired Headset,3.6,₹299,₹999,70% off,https://www.flipkart.com/deparq-opp-o-f17-pro-f15-f11pro-reno-4-wired-headset/p/itm7d8fbc2ba4013?pid=ACCFWF8QTN8FHGRG&lid=LSTACCFWF8QTN8FHGRGVXGC66&marketplace=FLIPKART&srno=b_1_25&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFWF8QTN8FHGRG.SEARCH&ssid=8u94u7zlow0000001609484967964
Deparq Samsung Galaxy M51 / M31s / A51 / M11 / A71 / A50s / M31 Wired Headset,3.3,₹289,₹999,71% off,https://www.flipkart.com/deparq-samsung-galaxy-m51-m31s-a51-m11-a71-a50s-m31-wired-headset/p/itm8d7888f2c5dfc?pid=ACCFW8FCWWZZKZRG&lid=LSTACCFW8FCWWZZKZRGPDUQKN&marketplace=FLIPKART&srno=b_1_26&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFW8FCWWZZKZRG.SEARCH&ssid=8u94u7zlow0000001609484967964
Helokuki S_amsung Gal_axy M01 / M31 / M30s / M21 / M11 / M30 Wired Headset,4,₹399,₹999,60% off,https://www.flipkart.com/helokuki-s-amsung-gal-axy-m01-m31-m30s-m21-m11-m30-wired-headset/p/itm171a2705aa101?pid=ACCFTYGNKACA4C8X&lid=LSTACCFTYGNKACA4C8XLFIQGN&marketplace=FLIPKART&srno=b_1_27&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFTYGNKACA4C8X.SEARCH&ssid=8u94u7zlow0000001609484967964
Deparq Red_mi Note 8 Pro / Note 8 / 8 / 8A / 7 Pro / 7 / 7A Wired Headset,3.9,₹299,₹999,70% off,https://www.flipkart.com/deparq-red-mi-note-8-pro-8a-7-7a-wired-headset/p/itm5adf611039f6f?pid=ACCFW67NJAEGNUJF&lid=LSTACCFW67NJAEGNUJFXDA1QF&marketplace=FLIPKART&srno=b_1_28&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFW67NJAEGNUJF.SEARCH&ssid=8u94u7zlow0000001609484967964
Deparq Red_mi Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9 Wired Headset,3.6,₹299,₹999,70% off,https://www.flipkart.com/deparq-red-mi-note-9-pro-max-prime-wired-headset/p/itm489f8838b90c4?pid=ACCFWF6Q84WWZQ94&lid=LSTACCFWF6Q84WWZQ94EJ1XGG&marketplace=FLIPKART&srno=b_1_29&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFWF6Q84WWZQ94.SEARCH&ssid=8u94u7zlow0000001609484967964
Deparq Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9A Wired Headset,3.5,₹289,₹999,71% off,https://www.flipkart.com/deparq-note-9-pro-max-prime-9a-wired-headset/p/itma09a9fed55c4a?pid=ACCFW9K7RUGQYVCK&lid=LSTACCFW9K7RUGQYVCKKW4AGH&marketplace=FLIPKART&srno=b_1_30&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFW9K7RUGQYVCK.SEARCH&ssid=8u94u7zlow0000001609484967964
Helokuki GM31 / M21 / A31 / M30S / A51 /A71 Wired Headset,4,₹278,₹999,72% off,https://www.flipkart.com/helokuki-gm31-m21-a31-m30s-a51-a71-wired-headset/p/itm1417a5447e2db?pid=ACCFSXHYM4ESHPEY&lid=LSTACCFSXHYM4ESHPEYX9RHK8&marketplace=FLIPKART&srno=b_1_31&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFSXHYM4ESHPEY.SEARCH&ssid=8u94u7zlow0000001609484967964
RENMAX PTT Earpiece 2-Pin Earphone with Mic for Walkie Talkie Wired Headset,4.2,₹199,₹399,50% off,https://www.flipkart.com/renmax-ptt-earpiece-2-pin-earphone-mic-walkie-talkie-wired-headset/p/itmf153500de1d29?pid=ACCFF2RF4GVYQEFJ&lid=LSTACCFF2RF4GVYQEFJJEQZAF&marketplace=FLIPKART&srno=b_1_32&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFF2RF4GVYQEFJ.SEARCH&ssid=8u94u7zlow0000001609484967964
Helokuki Note 7 Pro / Note 7/ K20 / 7 / 7A / A3 / mi 10 Wired Headset,3.3,₹278,₹999,72% off,https://www.flipkart.com/helokuki-note-7-pro-7-k20-7a-a3-mi-10-wired-headset/p/itme614dbc2bf0b0?pid=ACCFSV6ZFMDWCYVR&lid=LSTACCFSV6ZFMDWCYVRIFIK7D&marketplace=FLIPKART&srno=b_1_33&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFSV6ZFMDWCYVR.SEARCH&ssid=8u94u7zlow0000001609484967964
Edifier P180 Plus Earbuds with Remote and Mic Wired Headset,3.3,₹629,₹899,30% off,https://www.flipkart.com/edifier-p180-plus-earbuds-remote-mic-wired-headset/p/itmd5a6b7f50627c?pid=ACCFXT6TNHHXJACY&lid=LSTACCFXT6TNHHXJACYSUKFII&marketplace=FLIPKART&srno=b_1_34&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=ae70c234-0b77-4522-80eb-63aef63cf38a.ACCFXT6TNHHXJACY.SEARCH&ssid=8u94u7zlow0000001609484967964
Gionee ep1 Wired Headset,4.1,₹499,₹799,37% off,https://www.flipkart.com/gionee-ep1-wired-headset/p/itm29c31e7f688a7?pid=ACCFTE4RMN8VWGCP&lid=LSTACCFTE4RMN8VWGCPIU4NUW&marketplace=FLIPKART&srno=b_2_41&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFTE4RMN8VWGCP.SEARCH&ssid=2fhgm931jk0000001609484973281
Lumiford HD99 Bluetooth Headset,3.7,"₹1,399","₹3,305",57% off,https://www.flipkart.com/lumiford-hd99-bluetooth-headset/p/itm96d8521fe8448?pid=ACCFHDFGRDPZQA6F&lid=LSTACCFHDFGRDPZQA6FO2YZKE&marketplace=FLIPKART&srno=b_2_42&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFHDFGRDPZQA6F.SEARCH&ssid=2fhgm931jk0000001609484973281
CRICSHOW HBS730 BT Bluetooth Headset,4.2,₹359,"₹1,199",70% off,https://www.flipkart.com/cricshow-hbs730-bt-bluetooth-headset/p/itm167760267447c?pid=ACCFUAPCDNVAMDCU&lid=LSTACCFUAPCDNVAMDCU0GJZQ3&marketplace=FLIPKART&srno=b_2_43&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFUAPCDNVAMDCU.SEARCH&ssid=2fhgm931jk0000001609484973281
Olbon SPne 4 W Bluetooth  Speaker,3.5,₹373,"₹1,390",73% off,https://www.flipkart.com/olbon-spne-4-w-bluetooth-speaker/p/itm4ab0e25e465fe?pid=ACCFPZU9U5KFFDGX&lid=LSTACCFPZU9U5KFFDGXSL9WMP&marketplace=FLIPKART&srno=b_2_44&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_qaMIqXhRznRciafyiwcCj%2FERFTCWRSUS1ucqKB%2FtIewS8q%2F%2FkiyQkSGvp6hZz6BFpCTkhV96blXD18MVUO7AnA%3D%3D&ssid=2fhgm931jk0000001609484973281
Deparq V_IVO V7 PLUS V17 V5 Y50 Wired Headset,3.3,₹278,₹999,72% off,https://www.flipkart.com/deparq-v-ivo-v7-plus-v17-v5-y50-wired-headset/p/itmbdfad1c470ecc?pid=ACCFVN88GHEFHA6F&lid=LSTACCFVN88GHEFHA6F5VXHDT&marketplace=FLIPKART&srno=b_2_45&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFVN88GHEFHA6F.SEARCH&ssid=2fhgm931jk0000001609484973281
HELO KUKI Poco X3 / X2 / C3 / M2 Pro / M2 / Wired Headset,3.3,₹289,₹999,71% off,https://www.flipkart.com/helo-kuki-poco-x3-x2-c3-m2-pro-wired-headset/p/itmee22ee940fc49?pid=ACCFX95TDTKSD592&lid=LSTACCFX95TDTKSD592EOAKDC&marketplace=FLIPKART&srno=b_2_46&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFX95TDTKSD592.SEARCH&ssid=2fhgm931jk0000001609484973281
Deparq Re_al_me C15 / C12 / C11 / C3 / C2 / Wired Headset,3.8,₹299,₹999,70% off,https://www.flipkart.com/deparq-re-al-me-c15-c12-c11-c3-c2-wired-headset/p/itmd9c06b4ddbacc?pid=ACCFXCMCDBNKXGEM&lid=LSTACCFXCMCDBNKXGEMIIIVT5&marketplace=FLIPKART&srno=b_2_47&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFXCMCDBNKXGEM.SEARCH&ssid=2fhgm931jk0000001609484973281
Deparq V_ivo Y 17 / Y12 / Y90 / V15 / Z1x / Y91 / Y81 / V11 Pro Wired Headset,3.8,₹299,₹999,70% off,https://www.flipkart.com/deparq-v-ivo-y-17-y12-y90-v15-z1x-y91-y81-v11-pro-wired-headset/p/itm434521b87ee1b?pid=ACCFWF8GZMZ4KZRM&lid=LSTACCFWF8GZMZ4KZRMA8VIM3&marketplace=FLIPKART&srno=b_2_48&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFWF8GZMZ4KZRM.SEARCH&ssid=2fhgm931jk0000001609484973281
Edifier R19 U 4 W Laptop/Desktop Speaker,4.4,"₹1,701","₹1,990",14% off,https://www.flipkart.com/edifier-r19-u-4-w-laptop-desktop-speaker/p/itme4c7405551558?pid=ACCFEJUVTD7H6ZAT&lid=LSTACCFEJUVTD7H6ZATBEHF80&marketplace=FLIPKART&srno=b_2_49&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFEJUVTD7H6ZAT.SEARCH&ssid=2fhgm931jk0000001609484973281
QOR9 WAVEBASS Bluetooth Headset,2.9,"₹1,899","₹2,999",36% off,https://www.flipkart.com/qor9-wavebass-bluetooth-headset/p/itmf1a1c49b90048?pid=ACCFVF6YSUUSFDDE&lid=LSTACCFVF6YSUUSFDDEIAC9GA&marketplace=FLIPKART&srno=b_2_50&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_qaMIqXhRznRciafyiwcCj%2FERFTCWRSUS1ucqKB%2FtIexd0AbZpjZxRVs2t%2FGu4F88%2Fff2FEOOs2B%2BwRj5QWRVEA%3D%3D&ssid=2fhgm931jk0000001609484973281
Deparq Red_mi Note 8 Pro / Note 8 / 9i / 8 / 8A / K20 Pro Wired Headset,3.5,₹299,₹999,70% off,https://www.flipkart.com/deparq-red-mi-note-8-pro-9i-8a-k20-wired-headset/p/itmca2e0dd7b0643?pid=ACCFWF6XWNBTGHWJ&lid=LSTACCFWF6XWNBTGHWJLYG7YB&marketplace=FLIPKART&srno=b_2_51&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFWF6XWNBTGHWJ.SEARCH&ssid=2fhgm931jk0000001609484973281
"CRICSHOW MI,Redmi,Motorola,VIVO,Oppo,Micromax A007 Mobile supported Wired Headset",4.2,₹219,₹699,68% off,https://www.flipkart.com/cricshow-mi-redmi-motorola-vivo-oppo-micromax-a007-mobile-supported-wired-headset/p/itmc2e2b33defa4e?pid=ACCFURAFU6HEBQJV&lid=LSTACCFURAFU6HEBQJVFRB551&marketplace=FLIPKART&srno=b_2_52&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFURAFU6HEBQJV.SEARCH&ssid=2fhgm931jk0000001609484973281
Helokuki Re_al_me X2 Pro / X2 / XT / X / 5 Pro / 5S / 3i Wired Headset,3.7,₹278,₹999,72% off,https://www.flipkart.com/helokuki-re-al-me-x2-pro-xt-x-5-5s-3i-wired-headset/p/itm8c64ba9faf974?pid=ACCFSXH7EWSEGH2C&lid=LSTACCFSXH7EWSEGH2CKLGX6W&marketplace=FLIPKART&srno=b_2_53&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCFSXH7EWSEGH2C.SEARCH&ssid=2fhgm931jk0000001609484973281
Envent LiveTune 505 Wired Headset,3,"₹1,099","₹1,999",45% off,https://www.flipkart.com/envent-livetune-505-wired-headset/p/itm02877f85dd684?pid=ACCEVKHNXG8GNJ4Q&lid=LSTACCEVKHNXG8GNJ4Q5YHUGG&marketplace=FLIPKART&srno=b_2_54&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCEVKHNXG8GNJ4Q.SEARCH&ssid=2fhgm931jk0000001609484973281
Edifier R 12U 4 W Laptop/Desktop Speaker,3.2,"₹1,035","₹1,699",39% off,https://www.flipkart.com/edifier-r-12u-4-w-laptop-desktop-speaker/p/itmfd63b09a9cb27?pid=ACCF46T5UR8YYMEY&lid=LSTACCF46T5UR8YYMEYLYQDSA&marketplace=FLIPKART&srno=b_2_55&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=2caa7b49-eae6-4612-a50e-611aa73f16bf.ACCF46T5UR8YYMEY.SEARCH&ssid=2fhgm931jk0000001609484973281
